😀	grinning face	1f600
👰🏾‍♂️	man with veil: medium-dark skin tone	1f470-1f3fe-200d-2642-fe0f
👰🏿‍♂️	man with veil: dark skin tone	1f470-1f3ff-200d-2642-fe0f
👰‍♀️	woman with veil	1f470-200d-2640-fe0f
👰🏻‍♀️	woman with veil: light skin tone	1f470-1f3fb-200d-2640-fe0f
👰🏼‍♀️	woman with veil: medium-light skin tone	1f470-1f3fc-200d-2640-fe0f
👰🏽‍♀️	woman with veil: medium skin tone	1f470-1f3fd-200d-2640-fe0f
👰🏾‍♀️	woman with veil: medium-dark skin tone	1f470-1f3fe-200d-2640-fe0f
👰🏿‍♀️	woman with veil: dark skin tone	1f470-1f3ff-200d-2640-fe0f
🤰	pregnant woman	1f930
🤰🏻	pregnant woman: light skin tone	1f930-1f3fb
🤰🏼	pregnant woman: medium-light skin tone	1f930-1f3fc
🤰🏽	pregnant woman: medium skin tone	1f930-1f3fd
🤰🏾	pregnant woman: medium-dark skin tone	1f930-1f3fe
🤰🏿	pregnant woman: dark skin tone	1f930-1f3ff
🫃	pregnant man	1fac3
🫃🏻	pregnant man: light skin tone	1fac3-1f3fb
🫃🏼	pregnant man: medium-light skin tone	1fac3-1f3fc
🫃🏽	pregnant man: medium skin tone	1fac3-1f3fd
🫃🏾	pregnant man: medium-dark skin tone	1fac3-1f3fe
🫃🏿	pregnant man: dark skin tone	1fac3-1f3ff
🫄	pregnant person	1fac4
🫄🏻	pregnant person: light skin tone	1fac4-1f3fb
🫄🏼	pregnant person: medium-light skin tone	1fac4-1f3fc
🫄🏽	pregnant person: medium skin tone	1fac4-1f3fd
🫄🏾	pregnant person: medium-dark skin tone	1fac4-1f3fe
🫄🏿	pregnant person: dark skin tone	1fac4-1f3ff
🤱	breast-feeding	1f931
🤱🏻	breast-feeding: light skin tone	1f931-1f3fb
🤱🏼	breast-feeding: medium-light skin tone	1f931-1f3fc
🤱🏽	breast-feeding: medium skin tone	1f931-1f3fd
🤱🏾	breast-feeding: medium-dark skin tone	1f931-1f3fe
🤱🏿	breast-feeding: dark skin tone	1f931-1f3ff
👩‍🍼	woman feeding baby	1f469-200d-1f37c
👩🏻‍🍼	woman feeding baby: light skin tone	1f469-1f3fb-200d-1f37c
👩🏼‍🍼	woman feeding baby: medium-light skin tone	1f469-1f3fc-200d-1f37c
👩🏽‍🍼	woman feeding baby: medium skin tone	1f469-1f3fd-200d-1f37c
👩🏾‍🍼	woman feeding baby: medium-dark skin tone	1f469-1f3fe-200d-1f37c
👩🏿‍🍼	woman feeding baby: dark skin tone	1f469-1f3ff-200d-1f37c
👨‍🍼	man feeding baby	1f468-200d-1f37c
👨🏻‍🍼	man feeding baby: light skin tone	1f468-1f3fb-200d-1f37c
👨🏼‍🍼	man feeding baby: medium-light skin tone	1f468-1f3fc-200d-1f37c
👨🏽‍🍼	man feeding baby: medium skin tone	1f468-1f3fd-200d-1f37c
👨🏾‍🍼	man feeding baby: medium-dark skin tone	1f468-1f3fe-200d-1f37c
👨🏿‍🍼	man feeding baby: dark skin tone	1f468-1f3ff-200d-1f37c
🧑‍🍼	person feeding baby	1f9d1-200d-1f37c
🧑🏻‍🍼	person feeding baby: light skin tone	1f9d1-1f3fb-200d-1f37c
🧑🏼‍🍼	person feeding baby: medium-light skin tone	1f9d1-1f3fc-200d-1f37c
🧑🏽‍🍼	person feeding baby: medium skin tone	1f9d1-1f3fd-200d-1f37c
🧑🏾‍🍼	person feeding baby: medium-dark skin tone	1f9d1-1f3fe-200d-1f37c
🧑🏿‍🍼	person feeding baby: dark skin tone	1f9d1-1f3ff-200d-1f37c
👼	baby angel	1f47c
👼🏻	baby angel: light skin tone	1f47c-1f3fb
👼🏼	baby angel: medium-light skin tone	1f47c-1f3fc
👼🏽	baby angel: medium skin tone	1f47c-1f3fd
👼🏾	baby angel: medium-dark skin tone	1f47c-1f3fe
👼🏿	baby angel: dark skin tone	1f47c-1f3ff
🎅	Santa Claus	1f385
🎅🏻	Santa Claus: light skin tone	1f385-1f3fb
🎅🏼	Santa Claus: medium-light skin tone	1f385-1f3fc
🎅🏽	Santa Claus: medium skin tone	1f385-1f3fd
🎅🏾	Santa Claus: medium-dark skin tone	1f385-1f3fe
🎅🏿	Santa Claus: dark skin tone	1f385-1f3ff
🤶	Mrs. Claus	1f936
🤶🏻	Mrs. Claus: light skin tone	1f936-1f3fb
🤶🏼	Mrs. Claus: medium-light skin tone	1f936-1f3fc
🤶🏽	Mrs. Claus: medium skin tone	1f936-1f3fd
🤶🏾	Mrs. Claus: medium-dark skin tone	1f936-1f3fe
🤶🏿	Mrs. Claus: dark skin tone	1f936-1f3ff
🧑‍🎄	Mx Claus	1f9d1-200d-1f384
🧑🏻‍🎄	Mx Claus: light skin tone	1f9d1-1f3fb-200d-1f384
🧑🏼‍🎄	Mx Claus: medium-light skin tone	1f9d1-1f3fc-200d-1f384
🧑🏽‍🎄	Mx Claus: medium skin tone	1f9d1-1f3fd-200d-1f384
🧑🏾‍🎄	Mx Claus: medium-dark skin tone	1f9d1-1f3fe-200d-1f384
🧑🏿‍🎄	Mx Claus: dark skin tone	1f9d1-1f3ff-200d-1f384
🦸	superhero	1f9b8
🦸🏻	superhero: light skin tone	1f9b8-1f3fb
🦸🏼	superhero: medium-light skin tone	1f9b8-1f3fc
🦸🏽	superhero: medium skin tone	1f9b8-1f3fd
🦸🏾	superhero: medium-dark skin tone	1f9b8-1f3fe
🦸🏿	superhero: dark skin tone	1f9b8-1f3ff
🦸‍♂️	man superhero	1f9b8-200d-2642-fe0f
🦸🏻‍♂️	man superhero: light skin tone	1f9b8-1f3fb-200d-2642-fe0f
🦸🏼‍♂️	man superhero: medium-light skin tone	1f9b8-1f3fc-200d-2642-fe0f
🦸🏽‍♂️	man superhero: medium skin tone	1f9b8-1f3fd-200d-2642-fe0f
🦸🏾‍♂️	man superhero: medium-dark skin tone	1f9b8-1f3fe-200d-2642-fe0f
🦸🏿‍♂️	man superhero: dark skin tone	1f9b8-1f3ff-200d-2642-fe0f
🦸‍♀️	woman superhero	1f9b8-200d-2640-fe0f
🦸🏻‍♀️	woman superhero: light skin tone	1f9b8-1f3fb-200d-2640-fe0f
🦸🏼‍♀️	woman superhero: medium-light skin tone	1f9b8-1f3fc-200d-2640-fe0f
🦸🏽‍♀️	woman superhero: medium skin tone	1f9b8-1f3fd-200d-2640-fe0f
🦸🏾‍♀️	woman superhero: medium-dark skin tone	1f9b8-1f3fe-200d-2640-fe0f
🦸🏿‍♀️	woman superhero: dark skin tone	1f9b8-1f3ff-200d-2640-fe0f
🦹	supervillain	1f9b9
🦹🏻	supervillain: light skin tone	1f9b9-1f3fb
🦹🏼	supervillain: medium-light skin tone	1f9b9-1f3fc
🦹🏽	supervillain: medium skin tone	1f9b9-1f3fd
🦹🏾	supervillain: medium-dark skin tone	1f9b9-1f3fe
🦹🏿	supervillain: dark skin tone	1f9b9-1f3ff
🦹‍♂️	man supervillain	1f9b9-200d-2642-fe0f
🦹🏻‍♂️	man supervillain: light skin tone	1f9b9-1f3fb-200d-2642-fe0f
🦹🏼‍♂️	man supervillain: medium-light skin tone	1f9b9-1f3fc-200d-2642-fe0f
🦹🏽‍♂️	man supervillain: medium skin tone	1f9b9-1f3fd-200d-2642-fe0f
🦹🏾‍♂️	man supervillain: medium-dark skin tone	1f9b9-1f3fe-200d-2642-fe0f
🦹🏿‍♂️	man supervillain: dark skin tone	1f9b9-1f3ff-200d-2642-fe0f
🦹‍♀️	woman supervillain	1f9b9-200d-2640-fe0f
🦹🏻‍♀️	woman supervillain: light skin tone	1f9b9-1f3fb-200d-2640-fe0f
🦹🏼‍♀️	woman supervillain: medium-light skin tone	1f9b9-1f3fc-200d-2640-fe0f
🦹🏽‍♀️	woman supervillain: medium skin tone	1f9b9-1f3fd-200d-2640-fe0f
🦹🏾‍♀️	woman supervillain: medium-dark skin tone	1f9b9-1f3fe-200d-2640-fe0f
🦹🏿‍♀️	woman supervillain: dark skin tone	1f9b9-1f3ff-200d-2640-fe0f
🧙	mage	1f9d9
🧙🏻	mage: light skin tone	1f9d9-1f3fb
🧙🏼	mage: medium-light skin tone	1f9d9-1f3fc
🧙🏽	mage: medium skin tone	1f9d9-1f3fd
🧙🏾	mage: medium-dark skin tone	1f9d9-1f3fe
🧙🏿	mage: dark skin tone	1f9d9-1f3ff
🧙‍♂️	man mage	1f9d9-200d-2642-fe0f
🧙🏻‍♂️	man mage: light skin tone	1f9d9-1f3fb-200d-2642-fe0f
🧙🏼‍♂️	man mage: medium-light skin tone	1f9d9-1f3fc-200d-2642-fe0f
🧙🏽‍♂️	man mage: medium skin tone	1f9d9-1f3fd-200d-2642-fe0f
🧙🏾‍♂️	man mage: medium-dark skin tone	1f9d9-1f3fe-200d-2642-fe0f
🧙🏿‍♂️	man mage: dark skin tone	1f9d9-1f3ff-200d-2642-fe0f
🧙‍♀️	woman mage	1f9d9-200d-2640-fe0f
🧙🏻‍♀️	woman mage: light skin tone	1f9d9-1f3fb-200d-2640-fe0f
🧙🏼‍♀️	woman mage: medium-light skin tone	1f9d9-1f3fc-200d-2640-fe0f
🧙🏽‍♀️	woman mage: medium skin tone	1f9d9-1f3fd-200d-2640-fe0f
🧙🏾‍♀️	woman mage: medium-dark skin tone	1f9d9-1f3fe-200d-2640-fe0f
🧙🏿‍♀️	woman mage: dark skin tone	1f9d9-1f3ff-200d-2640-fe0f
🧚	fairy	1f9da
🧚🏻	fairy: light skin tone	1f9da-1f3fb
🧚🏼	fairy: medium-light skin tone	1f9da-1f3fc
🧚🏽	fairy: medium skin tone	1f9da-1f3fd
🧚🏾	fairy: medium-dark skin tone	1f9da-1f3fe
🧚🏿	fairy: dark skin tone	1f9da-1f3ff
🧚‍♂️	man fairy	1f9da-200d-2642-fe0f
🧚🏻‍♂️	man fairy: light skin tone	1f9da-1f3fb-200d-2642-fe0f
🧚🏼‍♂️	man fairy: medium-light skin tone	1f9da-1f3fc-200d-2642-fe0f
🧚🏽‍♂️	man fairy: medium skin tone	1f9da-1f3fd-200d-2642-fe0f
🧚🏾‍♂️	man fairy: medium-dark skin tone	1f9da-1f3fe-200d-2642-fe0f
🧚🏿‍♂️	man fairy: dark skin tone	1f9da-1f3ff-200d-2642-fe0f
🧚‍♀️	woman fairy	1f9da-200d-2640-fe0f
🧚🏻‍♀️	woman fairy: light skin tone	1f9da-1f3fb-200d-2640-fe0f
🧚🏼‍♀️	woman fairy: medium-light skin tone	1f9da-1f3fc-200d-2640-fe0f
🧚🏽‍♀️	woman fairy: medium skin tone	1f9da-1f3fd-200d-2640-fe0f
🧚🏾‍♀️	woman fairy: medium-dark skin tone	1f9da-1f3fe-200d-2640-fe0f
🧚🏿‍♀️	woman fairy: dark skin tone	1f9da-1f3ff-200d-2640-fe0f
🧛	vampire	1f9db
🧛🏻	vampire: light skin tone	1f9db-1f3fb
🧛🏼	vampire: medium-light skin tone	1f9db-1f3fc
🧛🏽	vampire: medium skin tone	1f9db-1f3fd
🧛🏾	vampire: medium-dark skin tone	1f9db-1f3fe
🧛🏿	vampire: dark skin tone	1f9db-1f3ff
🧛‍♂️	man vampire	1f9db-200d-2642-fe0f
🧛🏻‍♂️	man vampire: light skin tone	1f9db-1f3fb-200d-2642-fe0f
🧛🏼‍♂️	man vampire: medium-light skin tone	1f9db-1f3fc-200d-2642-fe0f
🧛🏽‍♂️	man vampire: medium skin tone	1f9db-1f3fd-200d-2642-fe0f
🧛🏾‍♂️	man vampire: medium-dark skin tone	1f9db-1f3fe-200d-2642-fe0f
🧛🏿‍♂️	man vampire: dark skin tone	1f9db-1f3ff-200d-2642-fe0f
🧛‍♀️	woman vampire	1f9db-200d-2640-fe0f
🧛🏻‍♀️	woman vampire: light skin tone	1f9db-1f3fb-200d-2640-fe0f
🧛🏼‍♀️	woman vampire: medium-light skin tone	1f9db-1f3fc-200d-2640-fe0f
🧛🏽‍♀️	woman vampire: medium skin tone	1f9db-1f3fd-200d-2640-fe0f
🧛🏾‍♀️	woman vampire: medium-dark skin tone	1f9db-1f3fe-200d-2640-fe0f
🧛🏿‍♀️	woman vampire: dark skin tone	1f9db-1f3ff-200d-2640-fe0f
🧜	merperson	1f9dc
🧜🏻	merperson: light skin tone	1f9dc-1f3fb
🧜🏼	merperson: medium-light skin tone	1f9dc-1f3fc
🧜🏽	merperson: medium skin tone	1f9dc-1f3fd
🧜🏾	merperson: medium-dark skin tone	1f9dc-1f3fe
🧜🏿	merperson: dark skin tone	1f9dc-1f3ff
🧜‍♂️	merman	1f9dc-200d-2642-fe0f
🧜🏻‍♂️	merman: light skin tone	1f9dc-1f3fb-200d-2642-fe0f
🧜🏼‍♂️	merman: medium-light skin tone	1f9dc-1f3fc-200d-2642-fe0f
🧜🏽‍♂️	merman: medium skin tone	1f9dc-1f3fd-200d-2642-fe0f
🧜🏾‍♂️	merman: medium-dark skin tone	1f9dc-1f3fe-200d-2642-fe0f
🧜🏿‍♂️	merman: dark skin tone	1f9dc-1f3ff-200d-2642-fe0f
🧜‍♀️	mermaid	1f9dc-200d-2640-fe0f
🧜🏻‍♀️	mermaid: light skin tone	1f9dc-1f3fb-200d-2640-fe0f
🧜🏼‍♀️	mermaid: medium-light skin tone	1f9dc-1f3fc-200d-2640-fe0f
🧜🏽‍♀️	mermaid: medium skin tone	1f9dc-1f3fd-200d-2640-fe0f
🧜🏾‍♀️	mermaid: medium-dark skin tone	1f9dc-1f3fe-200d-2640-fe0f
🧜🏿‍♀️	mermaid: dark skin tone	1f9dc-1f3ff-200d-2640-fe0f
🧝	elf	1f9dd
🧝🏻	elf: light skin tone	1f9dd-1f3fb
🧝🏼	elf: medium-light skin tone	1f9dd-1f3fc
🧝🏽	elf: medium skin tone	1f9dd-1f3fd
🧝🏾	elf: medium-dark skin tone	1f9dd-1f3fe
🧝🏿	elf: dark skin tone	1f9dd-1f3ff
🧝‍♂️	man elf	1f9dd-200d-2642-fe0f
🧝🏻‍♂️	man elf: light skin tone	1f9dd-1f3fb-200d-2642-fe0f
🧝🏼‍♂️	man elf: medium-light skin tone	1f9dd-1f3fc-200d-2642-fe0f
🧝🏽‍♂️	man elf: medium skin tone	1f9dd-1f3fd-200d-2642-fe0f
🧝🏾‍♂️	man elf: medium-dark skin tone	1f9dd-1f3fe-200d-2642-fe0f
🧝🏿‍♂️	man elf: dark skin tone	1f9dd-1f3ff-200d-2642-fe0f
🧝‍♀️	woman elf	1f9dd-200d-2640-fe0f
🧝🏻‍♀️	woman elf: light skin tone	1f9dd-1f3fb-200d-2640-fe0f
🧝🏼‍♀️	woman elf: medium-light skin tone	1f9dd-1f3fc-200d-2640-fe0f
🧝🏽‍♀️	woman elf: medium skin tone	1f9dd-1f3fd-200d-2640-fe0f
🧝🏾‍♀️	woman elf: medium-dark skin tone	1f9dd-1f3fe-200d-2640-fe0f
🧝🏿‍♀️	woman elf: dark skin tone	1f9dd-1f3ff-200d-2640-fe0f
🧞	genie	1f9de
🧞‍♂️	man genie	1f9de-200d-2642-fe0f
🧞‍♀️	woman genie	1f9de-200d-2640-fe0f
🧟	zombie	1f9df
🧟‍♂️	man zombie	1f9df-200d-2642-fe0f
🧟‍♀️	woman zombie	1f9df-200d-2640-fe0f
🧌	troll	1f9cc
🫈	hairy creature	1fac8
💆	person getting massage	1f486
💆🏻	person getting massage: light skin tone	1f486-1f3fb
💆🏼	person getting massage: medium-light skin tone	1f486-1f3fc
💆🏽	person getting massage: medium skin tone	1f486-1f3fd
💆🏾	person getting massage: medium-dark skin tone	1f486-1f3fe
💆🏿	person getting massage: dark skin tone	1f486-1f3ff
💆‍♂️	man getting massage	1f486-200d-2642-fe0f
💆🏻‍♂️	man getting massage: light skin tone	1f486-1f3fb-200d-2642-fe0f
💆🏼‍♂️	man getting massage: medium-light skin tone	1f486-1f3fc-200d-2642-fe0f
💆🏽‍♂️	man getting massage: medium skin tone	1f486-1f3fd-200d-2642-fe0f
💆🏾‍♂️	man getting massage: medium-dark skin tone	1f486-1f3fe-200d-2642-fe0f
💆🏿‍♂️	man getting massage: dark skin tone	1f486-1f3ff-200d-2642-fe0f
💆‍♀️	woman getting massage	1f486-200d-2640-fe0f
💆🏻‍♀️	woman getting massage: light skin tone	1f486-1f3fb-200d-2640-fe0f
💆🏼‍♀️	woman getting massage: medium-light skin tone	1f486-1f3fc-200d-2640-fe0f
💆🏽‍♀️	woman getting massage: medium skin tone	1f486-1f3fd-200d-2640-fe0f
💆🏾‍♀️	woman getting massage: medium-dark skin tone	1f486-1f3fe-200d-2640-fe0f
💆🏿‍♀️	woman getting massage: dark skin tone	1f486-1f3ff-200d-2640-fe0f
💇	person getting haircut	1f487
💇🏻	person getting haircut: light skin tone	1f487-1f3fb
💇🏼	person getting haircut: medium-light skin tone	1f487-1f3fc
💇🏽	person getting haircut: medium skin tone	1f487-1f3fd
💇🏾	person getting haircut: medium-dark skin tone	1f487-1f3fe
💇🏿	person getting haircut: dark skin tone	1f487-1f3ff
💇‍♂️	man getting haircut	1f487-200d-2642-fe0f
💇🏻‍♂️	man getting haircut: light skin tone	1f487-1f3fb-200d-2642-fe0f
💇🏼‍♂️	man getting haircut: medium-light skin tone	1f487-1f3fc-200d-2642-fe0f
💇🏽‍♂️	man getting haircut: medium skin tone	1f487-1f3fd-200d-2642-fe0f
💇🏾‍♂️	man getting haircut: medium-dark skin tone	1f487-1f3fe-200d-2642-fe0f
💇🏿‍♂️	man getting haircut: dark skin tone	1f487-1f3ff-200d-2642-fe0f
💇‍♀️	woman getting haircut	1f487-200d-2640-fe0f
💇🏻‍♀️	woman getting haircut: light skin tone	1f487-1f3fb-200d-2640-fe0f
💇🏼‍♀️	woman getting haircut: medium-light skin tone	1f487-1f3fc-200d-2640-fe0f
💇🏽‍♀️	woman getting haircut: medium skin tone	1f487-1f3fd-200d-2640-fe0f
💇🏾‍♀️	woman getting haircut: medium-dark skin tone	1f487-1f3fe-200d-2640-fe0f
💇🏿‍♀️	woman getting haircut: dark skin tone	1f487-1f3ff-200d-2640-fe0f
🚶	person walking	1f6b6
🚶🏻	person walking: light skin tone	1f6b6-1f3fb
🚶🏼	person walking: medium-light skin tone	1f6b6-1f3fc
🚶🏽	person walking: medium skin tone	1f6b6-1f3fd
🚶🏾	person walking: medium-dark skin tone	1f6b6-1f3fe
🚶🏿	person walking: dark skin tone	1f6b6-1f3ff
🚶‍♂️	man walking	1f6b6-200d-2642-fe0f
🚶🏻‍♂️	man walking: light skin tone	1f6b6-1f3fb-200d-2642-fe0f
🚶🏼‍♂️	man walking: medium-light skin tone	1f6b6-1f3fc-200d-2642-fe0f
🚶🏽‍♂️	man walking: medium skin tone	1f6b6-1f3fd-200d-2642-fe0f
🚶🏾‍♂️	man walking: medium-dark skin tone	1f6b6-1f3fe-200d-2642-fe0f
🚶🏿‍♂️	man walking: dark skin tone	1f6b6-1f3ff-200d-2642-fe0f
🚶‍♀️	woman walking	1f6b6-200d-2640-fe0f
🚶🏻‍♀️	woman walking: light skin tone	1f6b6-1f3fb-200d-2640-fe0f
🚶🏼‍♀️	woman walking: medium-light skin tone	1f6b6-1f3fc-200d-2640-fe0f
🚶🏽‍♀️	woman walking: medium skin tone	1f6b6-1f3fd-200d-2640-fe0f
🚶🏾‍♀️	woman walking: medium-dark skin tone	1f6b6-1f3fe-200d-2640-fe0f
🚶🏿‍♀️	woman walking: dark skin tone	1f6b6-1f3ff-200d-2640-fe0f
🚶‍➡️	person walking facing right	1f6b6-200d-27a1-fe0f
🚶🏻‍➡️	person walking facing right: light skin tone	1f6b6-1f3fb-200d-27a1-fe0f
🚶🏼‍➡️	person walking facing right: medium-light skin tone	1f6b6-1f3fc-200d-27a1-fe0f
🚶🏽‍➡️	person walking facing right: medium skin tone	1f6b6-1f3fd-200d-27a1-fe0f
🚶🏾‍➡️	person walking facing right: medium-dark skin tone	1f6b6-1f3fe-200d-27a1-fe0f
🚶🏿‍➡️	person walking facing right: dark skin tone	1f6b6-1f3ff-200d-27a1-fe0f
🚶‍♀️‍➡️	woman walking facing right	1f6b6-200d-2640-fe0f-200d-27a1-fe0f
🚶🏻‍♀️‍➡️	woman walking facing right: light skin tone	1f6b6-1f3fb-200d-2640-fe0f-200d-27a1-fe0f
🚶🏼‍♀️‍➡️	woman walking facing right: medium-light skin tone	1f6b6-1f3fc-200d-2640-fe0f-200d-27a1-fe0f
🚶🏽‍♀️‍➡️	woman walking facing right: medium skin tone	1f6b6-1f3fd-200d-2640-fe0f-200d-27a1-fe0f
🚶🏾‍♀️‍➡️	woman walking facing right: medium-dark skin tone	1f6b6-1f3fe-200d-2640-fe0f-200d-27a1-fe0f
🚶🏿‍♀️‍➡️	woman walking facing right: dark skin tone	1f6b6-1f3ff-200d-2640-fe0f-200d-27a1-fe0f
🚶‍♂️‍➡️	man walking facing right	1f6b6-200d-2642-fe0f-200d-27a1-fe0f
🚶🏻‍♂️‍➡️	man walking facing right: light skin tone	1f6b6-1f3fb-200d-2642-fe0f-200d-27a1-fe0f
🚶🏼‍♂️‍➡️	man walking facing right: medium-light skin tone	1f6b6-1f3fc-200d-2642-fe0f-200d-27a1-fe0f
🚶🏽‍♂️‍➡️	man walking facing right: medium skin tone	1f6b6-1f3fd-200d-2642-fe0f-200d-27a1-fe0f
🚶🏾‍♂️‍➡️	man walking facing right: medium-dark skin tone	1f6b6-1f3fe-200d-2642-fe0f-200d-27a1-fe0f
🚶🏿‍♂️‍➡️	man walking facing right: dark skin tone	1f6b6-1f3ff-200d-2642-fe0f-200d-27a1-fe0f
🧍	person standing	1f9cd
🧍🏻	person standing: light skin tone	1f9cd-1f3fb
🧍🏼	person standing: medium-light skin tone	1f9cd-1f3fc
🧍🏽	person standing: medium skin tone	1f9cd-1f3fd
🧍🏾	person standing: medium-dark skin tone	1f9cd-1f3fe
🧍🏿	person standing: dark skin tone	1f9cd-1f3ff
🧍‍♂️	man standing	1f9cd-200d-2642-fe0f
🧍🏻‍♂️	man standing: light skin tone	1f9cd-1f3fb-200d-2642-fe0f
🧍🏼‍♂️	man standing: medium-light skin tone	1f9cd-1f3fc-200d-2642-fe0f
🧍🏽‍♂️	man standing: medium skin tone	1f9cd-1f3fd-200d-2642-fe0f
🧍🏾‍♂️	man standing: medium-dark skin tone	1f9cd-1f3fe-200d-2642-fe0f
🧍🏿‍♂️	man standing: dark skin tone	1f9cd-1f3ff-200d-2642-fe0f
🧍‍♀️	woman standing	1f9cd-200d-2640-fe0f
🧍🏻‍♀️	woman standing: light skin tone	1f9cd-1f3fb-200d-2640-fe0f
🧍🏼‍♀️	woman standing: medium-light skin tone	1f9cd-1f3fc-200d-2640-fe0f
🧍🏽‍♀️	woman standing: medium skin tone	1f9cd-1f3fd-200d-2640-fe0f
🧍🏾‍♀️	woman standing: medium-dark skin tone	1f9cd-1f3fe-200d-2640-fe0f
🧍🏿‍♀️	woman standing: dark skin tone	1f9cd-1f3ff-200d-2640-fe0f
🧎	person kneeling	1f9ce
🧎🏻	person kneeling: light skin tone	1f9ce-1f3fb
🧎🏼	person kneeling: medium-light skin tone	1f9ce-1f3fc
🧎🏽	person kneeling: medium skin tone	1f9ce-1f3fd
🧎🏾	person kneeling: medium-dark skin tone	1f9ce-1f3fe
🧎🏿	person kneeling: dark skin tone	1f9ce-1f3ff
🧎‍♂️	man kneeling	1f9ce-200d-2642-fe0f
🧎🏻‍♂️	man kneeling: light skin tone	1f9ce-1f3fb-200d-2642-fe0f
🧎🏼‍♂️	man kneeling: medium-light skin tone	1f9ce-1f3fc-200d-2642-fe0f
🧎🏽‍♂️	man kneeling: medium skin tone	1f9ce-1f3fd-200d-2642-fe0f
🧎🏾‍♂️	man kneeling: medium-dark skin tone	1f9ce-1f3fe-200d-2642-fe0f
🧎🏿‍♂️	man kneeling: dark skin tone	1f9ce-1f3ff-200d-2642-fe0f
🧎‍♀️	woman kneeling	1f9ce-200d-2640-fe0f
🧎🏻‍♀️	woman kneeling: light skin tone	1f9ce-1f3fb-200d-2640-fe0f
🧎🏼‍♀️	woman kneeling: medium-light skin tone	1f9ce-1f3fc-200d-2640-fe0f
🧎🏽‍♀️	woman kneeling: medium skin tone	1f9ce-1f3fd-200d-2640-fe0f
🧎🏾‍♀️	woman kneeling: medium-dark skin tone	1f9ce-1f3fe-200d-2640-fe0f
🧎🏿‍♀️	woman kneeling: dark skin tone	1f9ce-1f3ff-200d-2640-fe0f
🧎‍➡️	person kneeling facing right	1f9ce-200d-27a1-fe0f
🧎🏻‍➡️	person kneeling facing right: light skin tone	1f9ce-1f3fb-200d-27a1-fe0f
🧎🏼‍➡️	person kneeling facing right: medium-light skin tone	1f9ce-1f3fc-200d-27a1-fe0f
🧎🏽‍➡️	person kneeling facing right: medium skin tone	1f9ce-1f3fd-200d-27a1-fe0f
🧎🏾‍➡️	person kneeling facing right: medium-dark skin tone	1f9ce-1f3fe-200d-27a1-fe0f
🧎🏿‍➡️	person kneeling facing right: dark skin tone	1f9ce-1f3ff-200d-27a1-fe0f
